name,side_effects
abvida-m 50mg/1000mg eazy glide tablet,"hypoglycemia (low blood glucose level),trembling,headache,dizziness,nausea"
acamprol tablet,"diarrhea,abdominal pain,nausea,vomiting,decreased libido"
ace proxyvon th 4 tablet,"nausea,vomiting,heartburn,stomach pain,diarrhea"
ace-proxyvon cr tablet,"nausea,flatulence,indigestion,diarrhea,constipation"
acetik-hc ear drop,"application site reactions (burning, irritation, itching and redness)"
acidose 500mg tablet,"stomach cramp,flatulence"
aciloc injection,"headache,diarrhea,gastrointestinal disturbance"
acnay gel,"skin peeling,dry skin,erythema (skin redness),burning sensation at the site of application"
acnedap plus gel,"skin irritation,itching,burning sensation at the site of application,erythema (skin redness),dryness"
acnesol 1% solution,"application site reactions (burning, irritation, itching and redness),skin rash,stomach pain,nausea,vomiting"
acnesol a nano gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
acnetor ad gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
act nvp tablet,"dryness in mouth,constipation,lightheadedness,drowsiness"
adhair 2% solution,"itching,headache,hypertrichosis (excessive hair growth),rash,dermatitis"
aditop c gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
adp 5mg tablet,"headache,fatigue,nausea,abdominal pain,sleepiness"
advog 0.3 tablet,"skin rash,flatulence,abdominal pain,diarrhea"
af 400 tablet,"headache,nausea,stomach pain"
afogatran 110 capsule,"nausea,anemia (low number of red blood cells),gastrointestinal bleeding,dyspepsia,diarrhea"
airz capsule,"runny nose,sore throat,upper respiratory tract infection"
airz-ff capsule,"runny nose,sore throat,upper respiratory tract infection"
alecloz 180 tablet,"headache,drowsiness,dizziness,nausea"
alerid syrup,"nausea,headache,muscle pain,edema (swelling),sleepiness"
alersin-total tablet sr,"nausea,upset stomach,dryness in mouth,headache,fatigue"
alevo 500 tablet,"headache,dizziness,nausea,constipation,diarrhea"
alex cough lozenges sugar free,"sleepiness,dizziness,confusion,nausea"
alex plus paediatric oral drops,"vomiting,headache,restlessness,anxiety,dizziness"
alex syrup,"nausea,vomiting,loss of appetite,headache"
alex syrup sugar free,"nausea,vomiting,loss of appetite,headache"
alfoo 10mg tablet pr,"upper respiratory tract infection,dizziness,headache,nausea,abdominal pain"
alkamed syrup,"stomach pain,tiredness,diarrhea,nausea,vomiting"
alkepin odt 50mg tablet,"dizziness,fainting,constipation,fever,weight gain"
allegra 180mg tablet,"headache,drowsiness,dizziness,nausea"
alphadol 1mcg soft gelatin capsule,"rash,itching,abdominal pain,increased calcium level in blood,increased calcium in urine"
alpostin 500mcg injection,"apnea (absence of breathing),fever"
altapan-dsr capsule,"diarrhea,stomach pain,flatulence,dryness in mouth,dizziness"
ambrolite cold syrup,"vomiting,nausea,upset stomach"
amcard-lp tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
amcrylate bio-adhesive,limited data available
amiodar 200 tablet,"lung damage,tachycardia,congestive cardiac failure,increased liver enzymes"
amlodac t 40 mg/5 mg tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
amlokem m 5/50 tablet,"nausea,slow heart rate,abdominal pain,dizziness,fatigue"
amlong a-25 tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
amlong-a tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
amlopres 2.5 tablet,"headache,fatigue,nausea,abdominal pain,sleepiness"
amlosafe-ls 5/5 tablet,"ankle swelling,headache,tiredness,palpitations,increased potassium level in blood"
amloz at 25 tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
amoreal cream,"blisters on skin,nail disorder,skin irritation,skin rash,erythema (skin redness)"
amoxyclav 375 tablet,"vomiting,nausea,diarrhea"
amrolstar cream,"blisters on skin,nail disorder,skin irritation,skin rash,erythema (skin redness)"
amucoe nac tablet,"vomiting,heartburn,stomach pain,upset stomach,rash"
anaflam xp 100mg/325mg tablet,"nausea,vomiting,stomach pain/epigastric pain,loss of appetite,heartburn"
anclazide-m tablet,"hypoglycemia (low blood glucose level),headache,nausea,dizziness,diarrhea"
angispan - tr 2.5mg capsule,"blurred vision,decreased blood pressure,dizziness,headache,increased heart rate"
angiwell 2.6mg tablet,"blurred vision,decreased blood pressure,dizziness,headache,increased heart rate"
angizaar 25 tablet,"dizziness,decreased blood pressure,hypoglycemia (low blood glucose level),increased potassium level in blood,increased blood urea"
aprezo 20 tablet,"diarrhea,nausea,vomiting"
aquasol a capsule,no common side effects seen
aquazide 12.5 tablet,"headache,nausea,altered blood lipid level,weakness,dizziness"
aquim pf eye drop,limited data available
arifine 2.5 tablet,"akathisia (inability to stay still),anxiety,blurred vision,constipation,dizziness"
arigaba nt 100 tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
ark 100mg tablet sr,"edema (swelling),nausea,headache,dizziness,vomiting"
arophyll hd 10mg/120mg/200mg tablet,"nausea,vomiting,diarrhea,rash,increased white blood cell count"
arvast 40 tablet,"muscle pain,weakness,headache,abdominal pain,dizziness"
ascoril flu drops,"vomiting,headache,restlessness,anxiety,dizziness"
asmygaba-m tablet,"dizziness,sleepiness,tiredness,uncoordinated body movements"
asmygaba-nt tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
asthagrip dm tablet,"nausea,vomiting,stomach pain,diarrhea,dryness in mouth"
asthakind-p drops,"excessive salivation,fatigue,paresthesia (tingling or pricking sensation),stomach discomfort,arrhythmia (irregular heartbeats)"
asthalin 100mcg inhaler,"tachycardia,tremors,headache,palpitations,increased heart rate"
asthalin plus expectorant,"nausea,vomiting,diarrhea,upset stomach,stomach pain"
asthalin respules,"tachycardia,tremors,headache,palpitations,increased heart rate"
asunra 400mg tablet,"nausea,headache,vomiting,rash,abdominal pain"
atchol-asp capsule,"abdominal pain,constipation,flatulence,increased liver enzymes,hepatitis (viral infection of liver)"
atm 200 oral suspension,"vomiting,nausea,abdominal pain,diarrhea"
atorec-f tablet,"nausea,stomach pain,constipation,flatulence,headache"
auradex 4mg tablet,"cardiovascular complications,metabolic disorder,infection,hiccup,decreased sperm count"
avastin 400mg injection,"rectal bleeding,taste change,headache,nosebleeds,back pain"
axcer  90mg tablet,"bleeding,breathlessness"
axunil nasal spray,"nasal irritation,headache,nosebleeds"
azee 1000 tablet,"vomiting,nausea,abdominal pain,diarrhea"
azee 200mg dry syrup,"vomiting,nausea,abdominal pain,diarrhea"
azicip 500 tablet,"vomiting,nausea,abdominal pain,diarrhea"
azmarda 50mg tablet,"dizziness,increased potassium level in blood,fatigue,hypotension (low blood pressure)"
azobril cream,"application site reactions (burning, irritation, itching and redness)"
aztor 40 tablet,"dyspepsia,abdominal pain,indigestion,diarrhea,joint pain"
azulix 1 mf forte tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
azulix 4 mf forte tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
azulix mv 2/0.2 tablet sr,"nausea,diarrhea,abdominal pain,hypoglycemia (low blood glucose level)"
babygesic 125 oral suspension,"indigestion,stomach pain,nausea,vomiting"
benadryl syrup,"stomach pain/epigastric pain,dizziness,sleepiness,impaired coordination,thickened respiratory tract secretions"
bencid tablet,"nausea,diarrhea,loss of appetite"
beta 50mg tablet,"cold extremities,fatigue,slow heart rate,nausea,diarrhea"
betacap tr 40 capsule,"tiredness,weakness,raynaud's phenomenon,arrhythmia (irregular heartbeats),nausea"
betagel,"reduction in bone density,upset stomach"
betnesol oral drops,"reduction in bone density,upset stomach"
bidin ls eye drop,"eye itching,allergic reaction in eye,conjunctival hyperemia,follicular conjunctivitis,dryness in mouth"
bigomet sr 500 tablet,"diarrhea,nausea,vomiting,flatulence"
bioclar 250mg tablet,"abdominal pain,diarrhea,headache,nausea,taste change"
biodens hair lotion,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
biodib 15 tablet,"hypoglycemia (low blood glucose level),edema (swelling),upper respiratory tract infection,bronchitis (inflammation of the airways),anemia (low number of red blood cells)"
biopron 4mg tablet,"dizziness,headache"
boostrix vaccine,"headache,injection site redness,pain,swelling,weakness"
brezvent-ls cough syrup,"nausea,vomiting,diarrhea,upset stomach,stomach pain"
bro-zedex ls drops,"vomiting,diarrhea,excessive salivation,fatigue,headache"
d flour tablet,"allergic skin rash,upset stomach"
d-gen 2k softgel capsule,no common side effects seen
defcort 18 tablet,"increased appetite,weight gain,frequent urge to urinate,cushing syndrome,cough"
dencross scalp lotion,"application site reactions (burning, irritation, itching and redness)"
dentogel liquid,no common side effects seen
depranex 5 tablet,"anorgasmia (decreased orgasm) in women,decreased libido,delayed ejaculation,fatigue,increased sweating"
dericip retard 150 tablet pr,"nausea,vomiting,headache,restlessness"
deriphyllin injection,"nausea,vomiting,headache,restlessness"
deriphyllin tablet,"nausea,vomiting,headache,restlessness"
dermitop lotion,"stinging sensation,headache,sore throat,itching,nosebleeds"
deys milk of magnesia liquid ice cream,"diarrhea,stomach cramp"
dianorm 80mg tablet,"hypoglycemia (low blood glucose level),weight gain,flatulence,diarrhea,headache"
diapride m 0.5mg/500mg tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
digecaine oral gel fruit punch sugar free,"constipation,diarrhea,allergic reaction"
digihaler sf 250 inhaler,"headache,cough,upper respiratory tract infection,nasopharyngitis (inflammation of the throat and nasal passages),sinus inflammation"
dilnip-trio tablet,"ankle swelling,headache,dizziness,tiredness,palpitations"
dimol 40 tablet,"coating on tongue,diarrhea,dehydration"
dinace 2.5 tablet,"dryness in mouth,nausea,vomiting,constipation,blurred vision"
diproex er 250 tablet,"headache,dizziness,blurred vision,weakness,abdominal pain"
divalpro xr 250 tablet,"headache,dizziness,blurred vision,weakness,abdominal pain"
diziron d tablet md,"drowsiness,headache,stomach pain,dryness in mouth"
doberol capsule,"skin rash,fever,nausea,vomiting"
dobutam 250mg injection,"high blood pressure,insomnia (difficulty in sleeping)"
dolcet-al tablet,"upset stomach,dryness in mouth,headache,fatigue,sleepiness"
dolcet-al tablet,"upset stomach,dryness in mouth,headache,fatigue,sleepiness"
dolowin-sr tablet,"dizziness,indigestion,nausea,abdominal pain,increased liver enzymes"
donecept m tablet,"nausea,vomiting,loss of appetite,diarrhea,headache"
